contactRate,cancelSports,hybridClasses,closeFitness,tracebackDays,ctProtocol,fCompliance,sIsolationCTCompliance,sIsolationCompliance,sPhysicalDistancingCompliance,sMaskCompliance,parties,maskAllN95,dailyTests,studentFacingStaffTestingBoost,percVaccinated,cumulativeInfections,peakNumInfected,totDeath,percPeopleInfected
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,YES,200,1,0,216,173,2,0.072
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,YES,100,5,0,202,147,1,0.067333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,YES,200,5,0,213,165,1,0.071
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,YES,100,1,0,255,183,8,0.085
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,YES,200,1,0,217,160,5,0.072333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,YES,100,5,0,223,174,2,0.074333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,YES,200,5,0,238,171,3,0.079333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,YES,100,1,0,233,175,1,0.077666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,YES,200,1,0,207,139,3,0.069
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,YES,100,5,0,214,139,0,0.071333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,YES,200,5,0,228,174,5,0.076
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,YES,100,1,0,230,153,2,0.076666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,YES,200,1,0,223,156,3,0.074333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,YES,100,5,0,245,175,2,0.081666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,YES,200,5,0,213,142,3,0.071
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,YES,100,1,0,204,134,2,0.068
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,YES,200,1,0,222,153,7,0.074
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,YES,100,5,0,218,144,5,0.072666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,YES,200,5,0,229,157,4,0.076333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,YES,100,1,0,176,134,3,0.058666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,YES,200,1,0,207,152,3,0.069
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,YES,100,5,0,217,164,3,0.072333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,YES,200,5,0,201,148,5,0.067
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,YES,100,1,0,249,168,2,0.083
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,YES,200,1,0,231,160,4,0.077
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,YES,100,5,0,262,163,4,0.087333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,YES,200,5,0,248,162,5,0.082666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,YES,100,1,0,227,169,1,0.075666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,YES,200,1,0,265,172,5,0.088333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,YES,100,5,0,275,182,3,0.091666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,YES,200,5,0,271,182,3,0.090333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,YES,100,1,0,230,161,3,0.076666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,YES,200,1,0,219,153,1,0.073
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,YES,100,5,0,234,170,3,0.078
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,YES,200,5,0,244,181,4,0.081333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,YES,100,1,0,218,152,2,0.072666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,YES,200,1,0,218,151,2,0.072666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,YES,100,5,0,245,176,1,0.081666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,YES,200,5,0,257,183,4,0.085666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,YES,100,1,0,276,184,1,0.092
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,YES,200,1,0,248,169,4,0.082666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,YES,100,5,0,241,167,5,0.080333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,YES,200,5,0,220,155,2,0.073333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,YES,100,1,0,215,162,2,0.071666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,YES,200,1,0,251,181,4,0.083666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,YES,100,5,0,228,153,6,0.076
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,YES,200,5,0,234,157,3,0.078
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,SOME,YES,100,1,0,211,155,2,0.070333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,SOME,YES,200,1,0,226,178,1,0.075333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,SOME,YES,100,5,0,219,170,2,0.073
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,SOME,YES,200,5,0,224,153,2,0.074666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,SOME,YES,100,1,0,202,142,3,0.067333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,SOME,YES,200,1,0,199,134,3,0.066333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,SOME,YES,100,5,0,243,183,1,0.081
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,SOME,YES,200,5,0,228,168,3,0.076
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,SOME,YES,100,1,0,220,158,6,0.073333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,SOME,YES,200,1,0,234,157,2,0.078
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,SOME,YES,100,5,0,233,174,2,0.077666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,SOME,YES,200,5,0,229,147,4,0.076333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,SOME,YES,100,1,0,223,144,5,0.074333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,SOME,YES,200,1,0,222,154,1,0.074
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,SOME,YES,100,5,0,219,154,2,0.073
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,SOME,YES,200,5,0,247,159,3,0.082333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,SOME,YES,100,1,0,217,140,5,0.072333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,SOME,YES,200,1,0,215,165,2,0.071666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,SOME,YES,100,5,0,198,152,2,0.066
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,SOME,YES,200,5,0,226,165,3,0.075333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,SOME,YES,100,1,0,206,144,1,0.068666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,SOME,YES,200,1,0,228,166,3,0.076
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,SOME,YES,100,5,0,239,189,2,0.079666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,SOME,YES,200,5,0,218,163,0,0.072666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,SOME,YES,100,1,0,226,167,2,0.075333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,SOME,YES,200,1,0,220,166,4,0.073333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,SOME,YES,100,5,0,214,152,1,0.071333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,SOME,YES,200,5,0,227,163,1,0.075666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,SOME,YES,100,1,0,216,164,0,0.072
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,SOME,YES,200,1,0,200,151,5,0.066666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,SOME,YES,100,5,0,233,154,4,0.077666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,SOME,YES,200,5,0,195,148,3,0.065
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,SOME,YES,100,1,0,201,145,2,0.067
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,SOME,YES,200,1,0,216,156,3,0.072
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,SOME,YES,100,5,0,255,188,2,0.085
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,SOME,YES,200,5,0,187,124,4,0.062333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,SOME,YES,100,1,0,210,150,3,0.07
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,SOME,YES,200,1,0,205,149,2,0.068333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,SOME,YES,100,5,0,191,139,5,0.063666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,SOME,YES,200,5,0,180,139,2,0.06
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,NO,100,1,0,408,194,5,0.136
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,NO,200,1,0,385,158,5,0.128333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,NO,100,5,0,282,167,1,0.094
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,NONE,NO,200,5,0,371,181,2,0.123666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,NO,100,1,0,346,175,3,0.115333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,NO,200,1,0,341,171,1,0.113666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,NO,100,5,0,270,161,5,0.09
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,NONE,NO,200,5,0,347,195,5,0.115666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,NO,100,1,0,291,203,4,0.097
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,NO,200,1,0,266,174,5,0.088666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,NO,100,5,0,270,185,4,0.09
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,NONE,NO,200,5,0,284,174,2,0.094666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,NO,100,1,0,286,176,5,0.095333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,NO,200,1,0,285,190,3,0.095
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,NO,100,5,0,263,178,5,0.087666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,NONE,NO,200,5,0,265,169,5,0.088333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,NO,100,1,0,287,174,2,0.095666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,NO,200,1,0,293,176,3,0.097666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,NO,100,5,0,276,181,6,0.092
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,NONE,NO,200,5,0,303,184,2,0.101
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,NO,100,1,0,297,174,3,0.099
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,NO,200,1,0,280,190,4,0.093333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,NO,100,5,0,283,154,3,0.094333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,NONE,NO,200,5,0,281,165,4,0.093666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,NO,100,1,0,238,157,5,0.079333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,NO,200,1,0,236,150,2,0.078666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,NO,100,5,0,234,147,7,0.078
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,HIGH,NONE,NO,200,5,0,266,186,7,0.088666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,NO,100,1,0,237,161,1,0.079
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,NO,200,1,0,246,159,0,0.082
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,NO,100,5,0,233,163,3,0.077666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,HIGH,NONE,NO,200,5,0,226,162,3,0.075333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,NO,100,1,0,291,175,4,0.097
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,NO,200,1,0,218,138,1,0.072666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,NO,100,5,0,229,159,2,0.076333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,LOW,NONE,NO,200,5,0,251,173,5,0.083666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,NO,100,1,0,259,177,1,0.086333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,NO,200,1,0,211,147,2,0.070333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,NO,100,5,0,232,160,3,0.077333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,LOW,NONE,NO,200,5,0,229,144,3,0.076333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,NO,100,1,0,218,159,1,0.072666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,NO,200,1,0,250,182,4,0.083333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,NO,100,5,0,228,158,2,0.076
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,HIGH,HIGH,NONE,NO,200,5,0,239,158,4,0.079666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,NO,100,1,0,220,158,1,0.073333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,NO,200,1,0,255,176,3,0.085
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,NO,100,5,0,211,147,2,0.070333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,HIGH,HIGH,NONE,NO,200,5,0,267,171,1,0.089
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,NO,100,1,0,254,160,2,0.084666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,NO,200,1,0,254,172,1,0.084666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,NO,100,5,0,226,155,2,0.075333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,LOW,NONE,NO,200,5,0,255,175,3,0.085
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,NO,100,1,0,247,167,5,0.082333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,NO,200,1,0,218,140,3,0.072666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,NO,100,5,0,236,164,2,0.078666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,LOW,NONE,NO,200,5,0,239,160,2,0.079666667
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,NO,100,1,0,238,158,3,0.079333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,NO,200,1,0,229,162,3,0.076333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,NO,100,5,0,222,156,4,0.074
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,HIGH,HIGH,NONE,NO,200,5,0,231,168,4,0.077
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,NO,100,1,0,236,166,2,0.078666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,NO,200,1,0,229,164,2,0.076333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,NO,100,5,0,223,162,1,0.074333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,HIGH,HIGH,NONE,NO,200,5,0,276,185,4,0.092
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,NO,100,1,0,375,193,6,0.125
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,NO,200,1,0,402,160,6,0.134
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,NO,100,5,0,368,186,4,0.122666667
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,LOW,SOME,NO,200,5,0,346,173,3,0.115333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,NO,100,1,0,301,161,6,0.100333333
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,NO,200,1,0,296,164,3,0.098666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,NO,100,5,0,330,168,5,0.11
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,LOW,SOME,NO,200,5,0,337,207,2,0.112333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,NO,100,1,0,298,175,6,0.099333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,NO,200,1,0,310,187,4,0.103333333
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,NO,100,5,0,282,187,3,0.094
LOW,NO,NO,NO,14,1,LOW,LOW,LOW,LOW,HIGH,SOME,NO,200,5,0,323,181,3,0.107666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,NO,100,1,0,299,193,5,0.099666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,NO,200,1,0,294,189,2,0.098
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,NO,100,5,0,290,165,4,0.096666667
LOW,NO,NO,NO,14,1,LOW,HIGH,LOW,LOW,HIGH,SOME,NO,200,5,0,289,165,5,0.096333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,NO,100,1,0,292,180,4,0.097333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,NO,200,1,0,258,172,3,0.086
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,NO,100,5,0,307,200,5,0.102333333
LOW,NO,NO,NO,14,1,LOW,LOW,HIGH,LOW,LOW,SOME,NO,200,5,0,308,187,4,0.102666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,NO,100,1,0,348,183,4,0.116
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,NO,200,1,0,284,190,4,0.094666667
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,NO,100,5,0,274,167,4,0.091333333
LOW,NO,NO,NO,14,1,LOW,HIGH,HIGH,LOW,LOW,SOME,NO,200,5,0,262,167,2,0.087333333
